assembly_accession	organism_name	species_taxid	refseq_category
GCF_000247855.1	Klebsiella oxytoca 10-5243	571	representative genome
GCF_902164675.1	Klebsiella oxytoca	571	representative genome
GCF_000240185.1	Klebsiella pneumoniae subsp. pneumoniae HS11286	573	reference genome
GCF_000783935.2	Raoultella planticola	575	representative genome
GCF_012029655.1	Raoultella terrigena	577	representative genome
GCF_001266615.1	Kluyvera cryocrescens	580	representative genome
GCF_900142745.1	Morganella morganii	582	representative genome
GCF_000069965.1	Proteus mirabilis HI4320	584	representative genome
GCF_000754995.1	Proteus vulgaris	585	representative genome
GCF_013255915.1	Providencia rettgeri	587	representative genome
GCF_000259175.1	Providencia stuartii MRSN 2154	588	representative genome
GCF_000422085.1	Serratia liquefaciens ATCC 27592	614	representative genome
GCF_011602465.1	Serratia marcescens	615	representative genome
GCF_002206385.2	Serratia odorifera	618	representative genome
GCF_001905915.1	Shigella boydii	621	representative genome
GCF_001932995.2	Shigella dysenteriae	622	representative genome
GCF_000006925.2	Shigella flexneri 2a str. 301	623	reference genome
GCF_002248755.1	Shigella sonnei	624	representative genome
GCF_001182085.1	Yersinia enterocolitica	630	representative genome
GCF_002188995.1	Yersinia intermedia	631	representative genome
GCF_000222975.1	Yersinia pestis A1122	632	representative genome
GCF_900637475.1	Yersinia pseudotuberculosis	633	representative genome
GCF_001319545.1	Yersinia bercovieri	634	representative genome
GCF_003113435.1	Edwardsiella tarda	636	representative genome
GCF_004768525.1	Arsenophonus nasoniae	638	representative genome
GCF_003491245.1	Aeromonas hydrophila	644	representative genome
GCF_002180335.1	Aeromonas salmonicida	645	representative genome
GCF_000820145.1	Aeromonas sobria	646	representative genome
GCF_900476005.1	Aeromonas caviae	648	representative genome
GCF_000819865.1	Aeromonas eucrenophila	649	representative genome
GCF_000708125.1	Aeromonas jandaei Riv2	650	representative genome
GCF_006246425.1	Aeromonas media	651	representative genome
GCF_001481395.1	Aeromonas schubertii	652	representative genome
GCF_000204115.1	Aeromonas veronii B565	654	representative genome
GCF_003265495.1	Aeromonas allosaccharophila	656	representative genome
GCF_002954725.1	Photobacterium phosphoreum	659	representative genome
GCF_002954615.1	Photobacterium angustum	661	representative genome
GCF_011801435.1	Vibrio alginolyticus	663	representative genome
GCF_000829215.1	Vibrio cholerae MS6	666	representative genome
GCF_004359415.1	Aliivibrio fischeri	668	representative genome
GCF_000770115.1	Vibrio harveyi	669	representative genome
GCF_004006515.1	Vibrio parahaemolyticus	670	representative genome
GCF_000467125.1	Vibrio proteolyticus NBRC 13287	671	representative genome
GCF_000186585.1	Vibrio vulnificus MO6-24/O	672	representative genome
GCF_001558255.2	Grimontia hollisae	673	representative genome
GCF_000176375.1	Vibrio mimicus MB451	674	representative genome
GCF_900460255.1	Vibrio cincinnatiensis	675	representative genome
GCF_001558415.2	Vibrio fluvialis	676	representative genome
GCF_001991055.1	Vibrio campbellii	680	representative genome
GCF_002892925.1	Vibrio diazotrophicus	685	representative genome
GCF_002196515.1	Vibrio gazogenes	687	representative genome
GCF_001691055.1	Aliivibrio logei	688	representative genome
GCF_001456255.1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	691	representative genome
GCF_001591105.1	Vibrio nereis NBRC 15637	693	representative genome
GCF_012273295.1	Plesiomonas shigelloides	703	representative genome
GCF_001594245.1	Aggregatibacter actinomycetemcomitans	714	representative genome
GCF_003290385.1	Actinobacillus pleuropneumoniae	715	representative genome
GCF_000739435.1	Actinobacillus suis ATCC 33415	716	representative genome
GCF_000374285.1	Actinobacillus capsulatus DSM 19761	717	representative genome
GCF_000801145.1	Actinobacillus equuli subsp. equuli	718	representative genome
GCF_900444945.1	Actinobacillus lignieresii	720	representative genome
GCF_900460625.1	Actinobacillus seminis	722	representative genome
GCF_900445015.1	Actinobacillus ureae	723	representative genome
GCF_900477945.1	Haemophilus haemolyticus	726	representative genome
GCF_000767075.1	Haemophilus influenzae	727	representative genome
GCF_012849875.1	Avibacterium paragallinarum	728	representative genome
GCF_000210895.1	Haemophilus parainfluenzae T3T1	729	representative genome
GCF_001647815.1	[Haemophilus] ducreyi	730	representative genome
GCF_002162215.1	Histophilus somni	731	representative genome
GCF_900636915.1	Aggregatibacter aphrophilus ATCC 33389	732	representative genome
GCF_900450725.1	Haemophilus haemoglobinophilus	733	representative genome
GCF_002015115.1	Haemophilus paracuniculus	734	representative genome
GCF_900450675.1	Haemophilus parahaemolyticus HK385	735	representative genome
GCF_002015045.1	Haemophilus paraphrohaemolyticus	736	representative genome
GCF_000021885.1	Glaesserella parasuis SH0165	738	representative genome
GCF_003252685.1	Aggregatibacter segnis	739	representative genome
GCF_003061265.1	Pasteurella multocida	747	representative genome
GCF_000772365.1	Gallibacterium anatis	750	representative genome
GCF_900454535.1	Avibacterium avium	751	representative genome
GCF_000262245.1	Pasteurella bettyae CCUG 2042	752	representative genome
GCF_009826815.1	Pasteurella canis	753	representative genome
GCF_900186835.1	Pasteurella dagmatis	754	representative genome
GCF_004362535.1	Avibacterium gallinarum	755	representative genome
GCF_003096995.1	Pasteurella langaaensis DSM 22999	756	representative genome
GCF_001998505.1	Rodentibacter pneumotropicus	758	representative genome
GCF_900454705.1	Pasteurella testudinis	761	representative genome
GCF_900635775.1	Avibacterium volantium	762	representative genome
GCF_000024505.1	Anaplasma centrale str. Israel	769	representative genome
GCF_003331125.1	Anaplasma marginale	770	representative genome
GCF_000015445.1	Bartonella bacilliformis KC583	774	representative genome
GCF_000007765.2	Coxiella burnetii RSA 493	777	reference genome
GCF_013460375.1	Ehrlichia ruminantium	779	representative genome
GCF_000007025.1	Rickettsia conorii str. Malish 7	781	representative genome
GCF_000277165.1	Rickettsia prowazekii str. Chernikova	782	representative genome
GCF_000017445.4	Rickettsia rickettsii str. Iowa	783	representative genome
GCF_900327235.1	Orientia tsutsugamushi	784	representative genome
GCF_000277285.1	Rickettsia typhi str. TH1527	785	representative genome
GCF_000018205.1	Rickettsia akari str. Hartford	786	representative genome
GCF_000284155.1	Rickettsia australis str. Cutlack	787	representative genome
GCF_000283915.1	Rickettsia canadensis str. CA410	788	representative genome
GCF_009936175.1	Bartonella quintana	803	representative genome
GCF_900638615.1	Bartonella elizabethae	807	representative genome
GCF_000008725.1	Chlamydia trachomatis D/UW-3/CX	813	reference genome
GCF_000025985.1	Bacteroides fragilis NCTC 9343	817	representative genome
GCF_001314975.1	Bacteroides thetaiotaomicron	818	representative genome
GCF_001406135.1	Bacteroides uniformis	820	representative genome
GCF_000012825.1	Bacteroides vulgatus ATCC 8482	821	representative genome
GCF_012273055.1	Parabacteroides distasonis	823	representative genome
GCF_001190745.1	Campylobacter gracilis	824	representative genome
GCF_900456835.1	Sebaldella termitidis	826	representative genome
GCF_001190755.1	Campylobacter ureolyticus RIGS 9880	827	representative genome
GCF_900129945.1	Butyrivibrio fibrisolvens DSM 3071	831	representative genome
GCF_902756345.1	Fibrobacter succinogenes	833	representative genome
GCF_000010505.1	Porphyromonas gingivalis ATCC 33277	837	representative genome
GCF_900142855.1	Prevotella ruminicola	839	representative genome
GCF_000378085.1	Prevotella loescheii DSM 19665 = JCM 12249 = ATCC 15930	840	representative genome
GCF_000196135.1	Wolinella succinogenes DSM 1740	844	representative genome
GCF_002127965.1	Oxalobacter formigenes	847	representative genome
GCF_003019695.1	Fusobacterium gonidiaformans ATCC 25563	849	representative genome
GCF_003019315.1	Fusobacterium mortiferum ATCC 9817	850	representative genome
GCF_001457555.1	Fusobacterium nucleatum subsp. polymorphum	851	representative genome
GCF_000622245.1	Fusobacterium perfoetens ATCC 29250	852	representative genome
GCF_003312465.1	Faecalibacterium prausnitzii	853	representative genome
GCF_000381725.1	Fusobacterium russii ATCC 25533	854	representative genome
GCF_003019655.1	Fusobacterium varium ATCC 27725	856	representative genome
GCF_900450765.1	Fusobacterium necrogenes	858	representative genome
GCF_003019715.1	Fusobacterium necrophorum subsp. funduliforme	859	representative genome
GCF_003019755.1	Fusobacterium periodonticum	860	representative genome
GCF_003019675.1	Fusobacterium ulcerans	861	representative genome
GCF_000014725.1	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	863	representative genome
GCF_900115655.1	Ruminobacter amylophilus	867	representative genome
GCF_000015345.1	Dichelobacter nodosus VCS1703A	870	representative genome
GCF_000212675.2	Desulfocurvibacter africanus subsp. africanus str. Walvis Bay	873	representative genome
GCF_000420465.1	Desulfovibrio desulfuricans DSM 642	876	representative genome
GCF_000179555.1	Desulfovibrio fructosivorans JJ	878	representative genome
GCF_000468495.1	Desulfovibrio gigas DSM 1382 = ATCC 19364	879	representative genome
GCF_000023445.1	Desulfovibrio salexigens DSM 2638	880	representative genome
GCF_000166115.1	Desulfovibrio vulgaris RCH1	881	representative genome
GCF_000421605.1	Thermodesulfobacterium thermophilum DSM 1276	886	representative genome
GCF_000420485.1	Desulfovibrio longus DSM 6739	889	representative genome
GCF_013371475.1	Desulfuromonas acetoxidans	891	representative genome
GCF_000186885.1	Desulfobulbus propionicus DSM 2032	894	representative genome
GCF_001854245.1	Desulfococcus multivorans	897	representative genome
GCF_000023225.1	Desulfomicrobium baculatum DSM 4028	899	representative genome
GCF_900116045.1	Desulfovibrio piger	901	representative genome
GCF_000025305.1	Acidaminococcus fermentans DSM 20731	905	representative genome
GCF_001304715.1	Megasphaera elsdenii 14-14	907	representative genome
GCF_000013885.1	Nitrobacter hamburgensis X14	912	representative genome
GCF_000012725.1	Nitrobacter winogradskyi Nb-255	913	representative genome
GCF_000009145.1	Nitrosomonas europaea ATCC 19718	915	representative genome
GCF_000014765.1	Nitrosomonas eutropha C91	916	representative genome
GCF_900111605.1	Nitrosomonas marina	917	representative genome
GCF_000021485.1	Acidithiobacillus ferrooxidans ATCC 23270	920	representative genome
GCF_000092925.1	Starkeya novella DSM 506	921	representative genome
GCF_002028405.1	Thiomonas intermedia	926	representative genome
GCF_000024765.1	Halothiobacillus neapolitanus c2	927	representative genome
GCF_000423825.1	Thermithiobacillus tepidarius DSM 3134	929	representative genome
GCF_001756595.1	Acidithiobacillus thiooxidans	930	representative genome
GCF_000373385.1	Thiobacillus thioparus DSM 505	931	representative genome
GCF_000711195.1	Thiomicrospira pelophila DSM 1534	934	representative genome
GCF_000164905.1	Hydrogenobacter thermophilus TK-6	940	representative genome
GCF_000012565.1	Ehrlichia canis str. Jake	944	representative genome
GCF_000632965.1	Ehrlichia chaffeensis str. West Paces	945	representative genome
GCF_000439775.1	Anaplasma phagocytophilum str. JM	948	representative genome
GCF_012790675.1	Anaplasma platys	949	representative genome
GCF_000022525.1	Neorickettsia risticii str. Illinois	950	representative genome
GCF_000013165.1	Neorickettsia sennetsu str. Miyayama	951	representative genome
GCF_001275365.1	Francisella persica ATCC VR-331	954	representative genome
GCF_001983615.1	Wolbachia pipientis wVitA	955	representative genome
GCF_000196175.1	Bdellovibrio bacteriovorus HD100	959	representative genome
GCF_004362635.1	Bacteriovorax stolpii	960	representative genome
GCF_001040945.1	Herbaspirillum seropedicae	964	representative genome
GCF_900107615.1	Selenomonas ruminantium	971	representative genome
GCF_000190595.1	Cellulophaga lytica DSM 7489	979	representative genome
GCF_000517085.1	Saccharicrinis fermentans DSM 9555 = JCM 21142	982	representative genome
GCF_900142775.1	Flavobacterium flevense	983	representative genome
GCF_000410815.1	Pedobacter heparinus DSM 2366	984	representative genome
GCF_000014145.1	Cytophaga hutchinsonii ATCC 33406	985	representative genome
GCF_000016645.1	Flavobacterium johnsoniae UW101	986	representative genome
GCF_000430645.1	Aquimarina latercula DSM 2041	987	representative genome
GCF_004104035.1	Leeuwenhoekiella marinoflava	988	representative genome
GCF_003003035.1	Marinilabilia salmonicolor	989	representative genome
GCF_003254275.1	Breznakibacter xylanolyticus	990	representative genome
GCF_002217335.1	Flavobacterium hydatis	991	representative genome
GCF_000242635.2	Solitalea canadensis DSM 3403	995	representative genome
GCF_001534645.1	Flavobacterium columnare	996	representative genome
GCF_000430505.1	Eisenibacter elegans DSM 3317	997	representative genome
GCF_900112255.1	Flexibacter flexilis DSM 6793	998	representative genome
GCF_000265505.1	Bernardetia litoralis DSM 6794	999	representative genome
GCF_000422585.1	Hugenholtzia roseola DSM 9546	1002	representative genome
GCF_900113045.1	Thermoflexibacter ruber	1003	representative genome
GCF_900119105.1	Chitinophaga sancti	1004	representative genome
GCF_000183425.1	Marivirga tractuosa DSM 4126	1006	representative genome
GCF_000250635.1	Saprospira grandis str. Lewin	1008	representative genome
GCF_900187125.1	Sphingobacterium mizutaii	1010	representative genome
GCF_000189415.1	Weeksella virosa DSM 16922	1014	representative genome
GCF_900445655.1	Bergeyella zoohelcum	1015	representative genome
GCF_002302415.1	Capnocytophaga gingivalis	1017	representative genome
GCF_000023285.1	Capnocytophaga ochracea DSM 7271	1018	representative genome
GCF_002302495.1	Capnocytophaga sputigena	1019	representative genome
GCF_000245015.1	Beggiatoa alba B18LD	1022	representative genome
GCF_003386095.1	Marinoscillum furvescens DSM 4134	1026	representative genome
GCF_000169175.1	Microscilla marina ATCC 23134	1027	representative genome
GCF_900177665.1	Marivirga sericea	1028	representative genome
GCF_000260135.1	Thiothrix nivea DSM 5205	1031	representative genome
GCF_000336555.1	Afipia clevelandensis ATCC 49720	1034	representative genome
GCF_900445155.1	Afipia felis	1035	representative genome
GCF_000715015.1	Erythrobacter longus	1044	representative genome
